Question,1,2,3,Correct Answer
Which of the following cities is NOT home to an inaugural NHL team?,Pittsburgh,Chicago,Detroit,Pittsburgh
Which of these is an anagram of twelve plus one'?,Eleven plus two,Twenty-one elves,Twelve one-ups,Eleven plus two
Which of these investments takes longest to mature?,T-bonds,T-notes,T-bills,T-bonds
Which of these is NOT a common type of underwear?,Bee beard,Briefs,Boxers,Bee beard
You are most likely to hear the Tetum language spoken in which capital city?,Dili,Mogadishu,La Paz,Dili
Which of these words is used to refer to more than one ferret?,Business,Punch,Clever,Business
Which of these BBQ dishes is most closely tied to Kentucky?,Chipped mutton,Brunswick stew,Dry ribs,Chipped mutton
Let My Love Open the Door' was a hit for a former member of what band?,The Who,Genesis,Led Zeppelin,The Who
Which of these particles is NOT found within an atomic nucleus?,Electron,Proton,Neutron,Electron
Which of these landmark Supreme Court cases was handed down first?,Dred Scott v. Sandford,Brown v. Board,Plessy v. Ferguson,Dred Scott v. Sandford
What is the name of the layer that lies between the crust and core of the Earth?,Mantle,Ocean,Continent,Mantle
Who is the Eiffel Tower named after?,Gustave Eiffel,Gustave Tower,Indoor Football League,Gustave Eiffel
Who was inducted into the National Inventors Hall of Fame first?,Nikola Tesla,Philo Farnsworth,Louis Pasteur,Nikola Tesla
The Lone Star State does NOT border which state?,Centennial State,Land of Enchantment,Pelican State,Centennial State
The rapper Q-Tip is part of what classic hip-hop group?,A Tribe Called Quest,Public Enemy,De La Soul,A Tribe Called Quest
"In the 1989 film Turner &amp; Hooch,' what kind of animal was Hooch?",Dog,Ferret,Skunk,Dog
Which of these terms is used to describe the news media?,Fourth estate,Second base,Third watch,Fourth estate
Which of these artists has NOT recorded a song based on Wuthering Heights'?,Annie Lennox,Kate Bush,Celine Dion,Annie Lennox
"Thanks to its density, which of these elements is the heaviest?",Lead,Silver,Aluminum,Lead
Which of these is a food that vegans would eat?,Spinach,Strip steak,Tuna salad,Spinach
Which is a common flavor of toothpaste?,Mint,Salt,Mayonnaise,Mint
Which of these actors is known for tweeting pictures of his own paintings?,Anthony Hopkins,Sam Neill,Michael Caine,Anthony Hopkins
Which US president never had a spouse?,James Buchanan,Martin Van Buren,John Tyler,James Buchanan
What does the Italian exclamation Basta!' translate to in English?,Enough!,Great!,Pasta!,Enough!
"Geographically speaking, an atoll is a type of what?",Island,Peninsula,Isthmus,Island
The director of which film appeared in several episodes of Degrassi: The Next Generation'?,Clerks,Knocked Up,The Sixth Sense,Clerks
Who lends his name to the machines that typically resurface the ice at skating rinks?,Frank Zamboni,Charles Ponzi,Brian Boitano,Frank Zamboni
The creator of which of these fonts has publicly declared it the best font in the world'?,Comic sans,Papyrus,Helvetica,Comic sans
What music legend's hat stole the show at the 2009 presidential inauguration?,Aretha Franklin,Keith Urban,Pharrell,Aretha Franklin
What type of wine is spoiled in a hit '90s song by Alanis Morissette?,Chardonnay,Sherry,Merlot,Chardonnay
Which term describes pajamas with initials stitched onto them?,Monogrammed,Monorailed,Monologued,Monogrammed
The game now known as laser tag began as a 1979 toy inspired by what franchise?,Star Trek,The Jetsons,Doctor Who,Star Trek
Which of these terms refers to a popular type of wooden board used for decorating?,Shiplap,Boatcull,Craftpanel,Shiplap
Which of these would be considered a peccadillo?,Tardiness,Identity theft,Kidnapping,Tardiness
Which of these shapes has the most sides?,Hexagon,Pentagon,Rhombus,Hexagon
The lead actor in Better Call Saul' starred on what '90s sketch comedy TV series?,Mr. Show,The State,Kids in the Hall,Mr. Show
Which animal is NOT a species of wild cat?,Rorqual,Oncilla,Margay,Rorqual
Which state's capital contains the name of the state?,Indiana,Iowa,Maine,Indiana
Which of these is a shade of red?,Crimson,Turquoise,Emerald,Crimson
Which of these animals is usually the smallest?,Goose,Moose,Bruce Willis,Goose
Which of these words was invented by Jonathan Swift and is a synonym for big'?,Brobdingnagian,Lilliputian,Gargantuan,Brobdingnagian
"Because he likes the lessons,' what film has the rapper known as Puff Daddy watched at least 63 times?",Scarface,Big,Titanic,Scarface
The digastric muscle can be found directly under what body part?,Jaw,Heart,Stomach,Jaw
Which of these is typically sold in a bakery?,Muffins,Top hats,Power saws,Muffins
In which of these novels is the first word the same as the title?,Lolita,Frankenstein,Dracula,Lolita
Which of these countries relies on nuclear power for more than 75 percent of its electricity?,France,Russia,Japan,France
The concept now known as the uncanny valley' was created by a scientist from what country?,Japan,USA,France,Japan
Which of these is considered an oxymoron?,Jumbo shrimp,Sizzling fajitas,Albino alligator,Jumbo shrimp
Which of these sandwiches is often grilled?,Cheese,Knuckle,Earl,Cheese
Which person is NOT mentioned in REM's It's the End of the World as We Know It'?,Leonard Cohen,Leonid Brezhnev,Lester Bangs,Leonard Cohen
What kind of tax does NOT apply in the regular edition of Monopoly?,Property tax,Poor tax,Income tax,Property tax
Which of these rappers is the tallest?,Lil Yachty,Lil Uzi Vert,Lil Wayne,Lil Yachty
Which of these US states' capitals has the fewest residents?,Maryland,Minnesota,Iowa,Maryland
The tech term malware' combines what word with software?,Malicious,Malfunctioning,Malevolent,Malicious
Which of these nations has NOT produced a secretary-general of the United Nations?,Brazil,Egypt,Sweden,Brazil
What PBS icon was named an honorary captain of a National Hockey League team?,Mister Rogers,Bob Ross,William F. Buckley Jr.,Mister Rogers
Which of these battles did NOT happen during World War II?,Battle of Verdun,Battle of the Bulge,Battle of Midway,Battle of Verdun
Which of these Beatles songs is sung entirely in English?,Norwegian Wood,Across the Universe,Michelle,Norwegian Wood
What kind of power do televisions run on?,Electricity,Caffeine,Pure charisma,Electricity
The invention known as the Archimedes' screw is typically used for what?,Pumping water,Fastening wood,Preparing meat,Pumping water
In what language is 555' internet slang for laughter?,Thai,Korean,Chinese,Thai
Which is a component of most modern computers?,Keyboard,Wind chime,Grease trap,Keyboard
The Back to the Future' movie trilogy spans how long a period of time?,130 years,60 years,100 years,130 years
What is the largest planet in our solar system?,Jupiter,Super Mercury,Mars after a bee sting,Jupiter
"According to Kermit the Frog, It's not easy being' what?",Green,Gorgeous,Goth,Green
Which game was created by the same mind behind RoboRally?,Magic: The Gathering,Settlers of Catan,Hearthstone,Magic: The Gathering
"Before This American Life,' Ira Glass was the co-host of an NPR show based in what city?",Chicago,Boston,New York City,Chicago
Who was appointed to the US Senate despite being too young to legally serve?,Henry Clay Sr.,Stephen A. Douglas,John C. Calhoun,Henry Clay Sr.
Which gulf is NOT located at the northern end of the Red Sea?,Aden,Aqaba,Suez,Aden
Which of these is a common type of building?,Skyscraper,Sky Ferreira,Skywalker,Skyscraper
Which of these singers has an eponymous album title?,Demi Lovato,Carly Rae Jepsen,Selena Gomez,Demi Lovato
Which of these entrepreneurs has the most followers on Instagram?,Daymond John,Kevin O'Leary,Barbara Corcoran,Daymond John
Which of the following is NOT made from natural fibers?,Olefin,Rayon,Jute,Olefin
"By area, which of these US states is biggest?",Texas,California,Utah,Texas
Which of these orders of insects has the largest number of species?,Beetles,Cockroaches,Flies,Beetles
Which Ivy League school is by far the most recently founded?,Cornell,Brown,Dartmouth,Cornell
What chemical element was observed on the Sun before it was discovered on Earth?,Helium,Hydrogen,Neon,Helium
The Landlord's Game' by Elizabeth Magie evolved into what classic board game?,Monopoly,Sorry!,Trouble,Monopoly
Which of these mountain peaks does NOT get its name from a color?," Monte Rosa, Switzerland "," Pico Turquino, Cuba"," Mont Blanc, France"," Monte Rosa, Switzerland "
"Including today, how many Friday the 13ths' will occur during 2018?",Two,Four,Six,Two
"For the US 50 State Quarters Program, Ohio and North Carolina argued over the rights to a famous what?",Vehicle,Building,Animal,Vehicle
Which of these is an actual Nobel Prize category?,Chemistry,Engineering,Mathematics,Chemistry
Which of these animals is a crustacean?,Fiddler crab,Recluse spider,Pilot fish,Fiddler crab
Which of these '80s films has the greatest age gap between its romantic leads?,Moonstruck,Overboard,Bull Durham,Moonstruck
Which of these words refers to a part of a bird's stomach that grinds food?,Gizzard,Mizzen,Doozle,Gizzard
The author Bram Stoker created what famous vampire in 1897?,Count Dracula,Bitey Perry,Bat Damon,Count Dracula
"According to the old saying, actions speak louder than' what?",Words,Washing machines,Wendy Williams,Words
Which of these US presidents was NEVER impeached?,Richard Nixon,Bill Clinton,Andrew Johnson,Richard Nixon
What is the name of the company behind the classic Doom' and Quake' computer games?,Id,Superego,Ego,Id
"By definition, where are people known as Turkmen from?",Turkmenistan,Turks and Caicos Islands,Turkey,Turkmenistan
"In construction, steel rods that are used to reinforce concrete are called what?",Rebars,Rebuses,Rebukes,Rebars
Which of these is a common breed of cat?,American Shorthair,Border Collie,Great Dane,American Shorthair
What are French fries usually made out of?,Potatoes,Leeks,Lettuce,Potatoes
What does the small hand on a clock typically indicate?,Hours,Wolves,Dumplings,Hours
Theo and Noah are the names of what animals gifted to the pope for Christmas 2014?,Donkeys,Platypuses,Ravens,Donkeys
What is the proper name for a maker of barrels?,Cooper,Fletcher,Chandler,Cooper
Which of these is one of the five standard human senses?,Touch,Hutch,Smutch,Touch
"In the original Rampage' arcade game, which monster's face is NOT featured on the title screen?",Gorilla,Lizard,Werewolf,Gorilla
What land animal holds the Guinness World Record for the largest mouth?,Hippopotamus,African elephant,Bengal tiger,Hippopotamus
Which of these Georges was a US president?,George Washington,George Jefferson,George Clinton,George Washington
The earliest known human writing occurred near what river?,Tigris,Thames,Yangtze,Tigris
Which of these is a required exam at Harry Potter's Hogwarts school?,O.W.L.,T.O.A.D.,C.A.T.,O.W.L.
Which word is spelled the same way in the United States and the United Kingdom?,Television,Center,Humor,Television
Which of these clothing items is specifically worn to handle cold weather?,Parka,Slip,Culottes,Parka
Which UK country has a NON-mythical national animal?,England,Scotland,Wales,England
What are the scientists on The Muppet Show' named for?,Lab equipment,Astronomers,Universities,Lab equipment
What color is in the middle of most three-color traffic lights?,Yellow,Green,Red,Yellow
The Lil Wayne hit 6 Foot 7 Foot' samples a song prominently featured in which Tim Burton film?,Beetlejuice,Mars Attacks!,Batman,Beetlejuice
What word refers to 128 cubic feet of firewood?,Cord,Course,Corner,Cord
"In political elections, someone who is currently in office is known as what?",Incumbent,Incubator,Incubus,Incumbent
"When England had no monarch during the 17th century, the ruler held what title?",Lord Protector,Executive Regent,Minister General,Lord Protector
Which of these synonyms for small amount' comes from a Japanese word?,Skosh,Bit,Iota,Skosh
What old-fashioned musical instrument shares its name with a Greek muse?,Calliope,Orphica,Ocarina,Calliope
Which of the following is a US state?,Louisiana,Florizona,Texylvania,Louisiana
What are pocket calculators traditionally used for?,Arithmetic,Blending smoothies,Dispensing legal advice,Arithmetic
Which of these classic novels has the longest first sentence?,The Old Man and the Sea,The Sound and the Fury,The Great Gatsby,The Old Man and the Sea
Which of these iconic mountains sits at the southernmost latitude?,Mount Everest,K2,Mount Fuji,Mount Everest
"By definition, aleatoric music is considered to be what?",Random,Cinematic,Mournful,Random
What is the capital of Australia?,Canberra,Melbourne,Sydney,Canberra
"In the Bible, Moses came down from Mount Sinai with tablets containing what?",10 commandments,20 coupons,6000 unread emails,10 commandments
Bonnie &amp Clyde were wanted by police for committing what crime?,Bank robbery,Excessive PDA,Destination wedding,Bank robbery
Which of these is the name of an actual ceremonial county in  England?,Buckinghamshire,Windsorshire,Westminstershire,Buckinghamshire
Which of these terms is used to refer to one nautical mile per hour?,Knot,League,Fathom,Knot
Where will you find the only Ivy League university named after the state it is in?,Pennsylvania,Massachusetts,Connecticut,Pennsylvania
Newborn flamingoes are typically what color?,Light gray,Pale green,Dark red,Light gray
What state is home to the tallest mountain peak in the US?,Alaska,Massachusetts,Florida,Alaska
What is the main ingredient in sawdust?,Wood,Freon,Potatoes,Wood
Which of the five main human senses primarily relies on papillae?,Taste,Sight,Hearing,Taste
"By definition, people who are somnambulists do what?",Walk in their sleep,Eat at their desks,Work from home,Walk in their sleep
The chief judge of the US Supreme Court is called what?,Chief Justice,Chief Moose,Chief Wiggum,Chief Justice
Who was NOT a model for Grant Wood's painting American Gothic?,Wood's grocer,Wood's sister,Wood's dentist,Wood's grocer
Whose work would you be most likely to learn more about on https://t.co/wIN6SjdXeh?,Robert Cray,Bob &amp Ray,Bobby Flay,Robert Cray
Which of these movies did NOT win an Academy Award for Best Original Song?,Footloose,Flashdance,Dirty Dancing,Footloose
"Humorous clips of mishaps in radio, TV and movies are known as what?",Bloopers,Chump-ups,Squeeblets,Bloopers
In which of the following musicals does the first Holy Roman Emperor appear?,Pippin,Spamalot,Man of La Mancha,Pippin
Which of these two-dimensional shapes has the most sides?,Chiliagon,Octadecagon,Enneadecagon,Chiliagon
Henry David Thoreau's Walden' detailed his cabin life in which state?,Massachusetts,Vermont,New Hampshire,Massachusetts
Which of these is a common synonym for instructional?,Didactic,Diametric,Diacritic,Didactic
"On a map, Italy is often said to resemble what everyday item?",Boot,Catcher's mitt,Wine glass,Boot
The area where one practices Japanese martial arts is often called what?,Dojo,Department of Justice,DJ Tanner's house,Dojo
What company's New York Stock Exchange symbol is simply its name in all capitals?,IBM,Nike,Visa,IBM
Tenzing Norgay is credited as one of the first two men to reach what place?,Top of Mt. Everest,South Pole,North Pole,Top of Mt. Everest
What day of the week is named for the moon?,Monday,Wednesday,Thursday,Monday
Which of these is a common type of truck?,Pick-up,Put-down,Leave-there,Pick-up
Ignoring someone is also known as giving them the cold' what?,Shoulder,Pudding,Goblin,Shoulder
"According to an infamous '80s hoax, April Fools' Day was created by a Roman court jester named what?",Kugel,Constantine,Boskin,Kugel
The capital city of which country sits at the southernmost latitude?,Uruguay,Madagascar,Indonesia,Uruguay
Who owns the NFL record for consecutive playoff games with at least two touchdown passes?,Joe Flacco,Joe Montana,Tom Brady,Joe Flacco
The holiday of Passover commemorates events that took place in what ancient civilization?,Egypt,Babylonia,Macedonia,Egypt
What basketball term derives from a French phrase that circus acrobats used to shout?,Alley-oop,Slam dunk,Airball,Alley-oop
A classic Shakespeare play details the doomed love between Romeo and who?,Juliet,Jessica Simpson,Ms. Jackson,Juliet
Mozart's The Marriage of Figaro' continues the story of what other opera?,The Barber of Seville,Rigoletto,La Traviata,The Barber of Seville
Which U.S. state's capital city is home to an NHL team?,Ohio,Florida,Pennsylvania,Ohio
What kind of number is the decimal expansion of 1/7?,Endless but repeating,Irrational,Ending,Endless but repeating
"On Broadway, a triple threat' is a person who sings, dances and what?",Acts,Bakes cakes,Trains dogs,Acts
The guitarist in the E Street Band starred in which television show?,The Sopranos,The Practice,Rescue Me,The Sopranos
What is the name of the scientific process that turns sugars into alcohol?,Fermentation,Photosynthesis,Mutation,Fermentation
Which of these U.S. states is known for its panhandle?,Florida,Iowa,Montana,Florida
In which of these places were rulers known as pharaohs?,Ancient Egypt,Medieval Japan,Studio54,Ancient Egypt
TGIF most commonly stands for Thank God It's' what?,Friday,Frankenstein,Flavortown,Friday
What dog breed was named for a region in Germany and Poland?,Pomeranian,Doberman Pinscher,Poodle,Pomeranian
Which U.S. president's middle name is Gamaliel?,Warren Harding,James Polk,Rutherford Hayes,Warren Harding
"Thanks to the time it took to make, what movie was almost called 12 Years'?",Boyhood,The LEGO Movie,Castaway,Boyhood
Which of these phrases is slang for a bad thing?,Dog's breakfast,Bee's knees,Cat's pajamas,Dog's breakfast
The Smart Car started as a collaboration between a car company and what?,Watchmaker,Website,Travel guide,Watchmaker
Which of these cat breeds gets its name from an island in Asia?,Balinese,Persian,Siamese,Balinese
"According to the old song Row, Row, Row Your Boat,' life is but a what?",Dream,Massive phoenix tattoo,Bitcoin scam,Dream
Who directed the motion picture credited as the first to show a flushing toilet?,Alfred Hitchcock,Frank Capra,John Waters,Alfred Hitchcock
Betteridge's Law' is a famous observation about what?,Headlines,Smartphone size,Cable news ratings,Headlines
Militia soldiers in the American Revolutionary War were commonly called what?,Minutemen,Millenniummen,Monthmen,Minutemen
Which of these nations shares its border with the most countries?,Austria,Bolivia,Mali,Austria
"In an early scene in WarGames,' Matthew Broderick grabs a textbook off of what arcade game?",Dig Dug,Galaga,Zaxxon,Dig Dug
"In the Eurythmics' debut hit video, what color was the lead singer's hair?",Orange,Blonde,Pink,Orange
What classic '80s TV character was an alien from the planet Melmac?,ALF,Alex P. Keaton,MacGyver,ALF
"In the Spielberg film E.T.', what does E.T. stand for?",Extra Terrestrial,Enchilada Thief,Earl Torgeson,Extra Terrestrial
What festive term also describes a hidden feature in a video game?,Easter egg,Halloween candy bucket,Christmas sweater vest,Easter egg
Who was the first woman to serve as a Supreme Court justice?,Sandra Day O'Connor,Madeleine Albright,Ruth Bader Ginsburg,Sandra Day O'Connor
Which of these is the name of a piece of furniture AND a vast historical empire?,Ottoman,Credenza,Macedonian,Ottoman
"In an old expression, what's good for the goose' is also good for the what?",Gander,People of Wakanda,Goose's social media,Gander
"In AOL Instant Messenger, what default sound played when friends appeared online?",Door opening,Car horn,Bicycle bell,Door opening
The wigs worn by barristers in English courts are usually made with which kind of hair?,Equine,Synthetic,Hominine,Equine
"In book publishing, a novel with a soft cover is typically called what?",Paperback,Pillow,Wimpy,Paperback
Which of these Canadian territories stretches farthest north?,Nunavut,Northwest Territories,Yukon,Nunavut
What is the last spoken line in Samuel Beckett's Waiting for Godot'?," Yes, let's go. ",Let's wait some more.,Is he coming?," Yes, let's go. "
Which of these nations' capital cities is located at the highest altitude?,Ethiopia,Kenya,Chile,Ethiopia
"Though their designs are similar, which of these countries' flags has the most colors?",Laos,Palau,Bangladesh,Laos
"Before inventing Nike's air soles, where did the creator work?",NASA,Porsche,Levi's,NASA
"By volume, the air we breathe is mostly made up of what element?",Nitrogen,Oxygen,Carbon dioxide,Nitrogen
What is the largest animal ever known to have lived?,Blue whale,Woolly mammoth,Apatosaurus,Blue whale
"In the fashion world, different color combinations for a single design are known as what?",Colorways,Flashschemes,Gridstuffs,Colorways
Which of these films earned the dreaded thumbs down' from Roger Ebert?,Full Metal Jacket,Demolition Man,Junior,Full Metal Jacket
What Edgar Allan Poe poem allegedly lends its name to a U.S. Air Force facility?,Dream-Land,The Raven,The Haunted Palace,Dream-Land
What type of card is typically used to make purchases at stores?,Credit,Blockbuster,Birthday,Credit
The first U.S. hotel to offer room service is now part of what hospitality chain?,Hilton,Four Seasons,Starwood,Hilton
The payment company Square has a board member who runs what fast food chain?,Shake Shack,Five Guys,In-N-Out,Shake Shack
Which of these countries built a city shaped like a First Lady's facial profile?,Argentina,France,North Korea,Argentina
Bollywood' is a portmanteau of what city and Hollywood?,Bombay,Boca Raton,Boston,Bombay
A common type of hair tie covered in fabric is known as what?,Scrunchie,Munchie,Lunchie,Scrunchie
Which of these '80s movies earned an Oscar nomination?,The Karate Kid,Risky Business,The Breakfast Club,The Karate Kid
Which of these terms is a common bicycle part?,Lawyer lips,Fireman fingers,Trainer toes,Lawyer lips
What do camels primarily store in their humps?,Fat,Water,Salt,Fat
What fashion brand's logo depicts a woman famous for her fierce appearance?,Versace,Chanel,Gucci,Versace
Neapolitan ice cream gets its name from a city in what country?,Italy,Germany,Canada,Italy
What is the predominant keyboard layout in North America?,QWERTY,FLIRTY,THRIVING,QWERTY
"In an old legend, what did Arthur pull out of a stone to become king?",Sword,Bird's nest,Fat stacks,Sword
"In the popular Asian sport sepak takraw, players strike the ball with what?",Feet,Hands,Sticks,Feet
Which of these animals is classified as an arachnid?,Wolf spider,Vampire bat,Seahorse,Wolf spider
Which of these words means in three pieces?',Tripartite,Troglodyte,Terracotta,Tripartite
A unicorn typically has one what on its head?,Horn,Mustache,Nacho hat,Horn
Which sauce did chef Marie-Antoine Car\xc3\xaame's name as one of his original mothers'?,B\xc3\xa'hamel,Hollandaise,Tomato,B\xc3\xa'hamel
What kitchen appliance is typically used to brown slices of bread?,Toaster,Immersion blender,French press,Toaster
Which of these movies was its director's feature film debut?,Being John Malkovich,Jaws,Moonlight,Being John Malkovich
Which singer launched the tape recorder revolution in America?,Bing Crosby,Frank Sinatra,Tony Bennett,Bing Crosby
What color was the original Livestrong bracelet?,Yellow,Green,Purple,Yellow
The container that children traditionally use to collect change is known as what?,Piggy bank,Doggy zone,Horsey place,Piggy bank
Which of these legendary artifacts was found in the Nile Delta?,Rosetta Stone,Elgin Marbles,Nefertiti Bust,Rosetta Stone
The first YouTube Music Awards were co-hosted by the star of what film?,Rushmore,San Andreas,Hancock,Rushmore
Which plant is considered customary in an English royal wedding bouquet?,Myrtle,Baby's-breath,Roses,Myrtle
The title of the rock record Steal This Album!' references a controversial work by whom?,Abbie Hoffman,Jack Kerouac,Karl Marx,Abbie Hoffman
The Richter scale is typically used to measure the magnitude of what?,Earthquakes,Food spiciness,Bee stings,Earthquakes
Which of these musicians once featured in a movie based on Blue's Clues'?,Ray Charles,Paul Simon,Ricky Martin,Ray Charles
Which of these products was originally developed for surgical use?,Listerine,Bengay,VapoRub,Listerine
The fashion brand Opening Ceremony once put on a play co-written by what actor?,Jonah Hill,Chlo\xc3\xab Sevigny,Jesse Eisenberg,Jonah Hill
Which of these is NOT a variety of strawberry?,Holland Bloom,Sweet Charlie,Ozark Beauty,Holland Bloom
Which of these professions is most likely to make a horseshoe?,Farrier,Ophthalmologist,Notary,Farrier
Parquet is a type of what?,Wooden flooring,African bird,Brand of cream cheese,Wooden flooring
Which of these is defined as a tautological place name?,Lake Tahoe,Martha's Vineyard," Walla Walla, Washington",Lake Tahoe
What U.S. sports league currently has two different players named Sebastian Aho?,NHL,MLB,NFL,NHL
The New-York Mirror newspaper notably employed which poet?,Edgar Allan Poe,Walt Whitman,Langston Hughes,Edgar Allan Poe
Which of these does NOT appear in both the original Pac-Man and Ms. Pac-Man?,Banana,Apple,Strawberry,Banana
"On her first recording, Billie Holiday was accompanied by what jazz legend?",Benny Goodman,Duke Ellington,Count Basie,Benny Goodman
Shopping mall staple Gadzooks was purchased by what fellow retailer?,Forever 21,Hot Topic,Spencer's,Forever 21
"By definition, a person who is ambidextrous is able to do what?",Use both hands well,Speak two languages,Whistle,Use both hands well
The terms of Amazon's web services contain a clause regarding potential attacks by what?,Zombies,Google,Underage hackers,Zombies
Which of these television shows was NOT based on a British series?,Say Yes to the Dress,Wife Swap,Trading Spaces,Say Yes to the Dress
Which of these teams won a Stanley Cup before the NHL was founded?,Montreal Canadiens,Boston Bruins,Toronto Maple Leafs,Montreal Canadiens
Which of these people is most likely to have a mutation in their melanocortin-1 receptor?,Julianne Moore,Jon Hamm,Lucy Liu,Julianne Moore
What is the official language of the tiny nation between France and Spain?,Catalan,French,Spanish,Catalan
Which of these is the name of an actual room in the White House?,China Room,Balloon Room,Yoga Room,China Room
"In the Bible, which son of Jacob has the same mother as Joseph?",Benjamin,Levi,Simeon,Benjamin
"Once a body of water, which of these regions is now dried out?",Aral Sea,Caspian Sea,Lake Balkhash,Aral Sea
Which of these long-ago empires originated in North Africa?,Carthaginian,Ottoman,Byzantine,Carthaginian
Which of these basketball terms is also a measurement of computer performance?,Flops,Dunks,Dimes,Flops
Ben &amp Jerry's Cherry Garcia flavor is a pun on the lead singer of what band?,Grateful Dead,Phish,Rolling Stones,Grateful Dead
Which of these is the name of one of the moons of the largest planet in our solar system?,Kale,Coriander,Vega,Kale
Which of these is NOT a breed of duck?,Green Marsh,Silver Bantam,Welsh Harlequin,Green Marsh
An annual holiday at Emory University features students being let out of class by what?,Skeleton,Peach mascot,Male cheerleaders,Skeleton
Zen and the Art of Motorcycle Maintenance' gets its name from an earlier book about what?,Archery,Bicycling,Gardening,Archery
The military unit responsible for the Pope's safety is composed of citizens of what country?,Switzerland,Italy,Vatican City,Switzerland
What is a common symptom of a deviated septum?,Snoring,Hearing loss,Rapid heartbeat,Snoring
The defunct channel Court TV briefly owned what popular website?,The Smoking Gun,https://t.co/2LZEqJvVj0,SCOTUSblog,The Smoking Gun
What is the only U.S. state home to two Ivy League schools?,New York,Massachusetts,Pennsylvania,New York
Which of these is NOT an ingredient in a traditional Chicago-style hot dog?,Heated ketchup,Yellow mustard,Sweet relish,Heated ketchup
The co-creators of Kazaa also helped develop which product?,Skype,Winamp,LimeWire,Skype
Which of these states does NOT currently have an In-N-Out?,New Mexico,Utah,Arizona,New Mexico
Which pop star appeared in the original film version of Hairspray'?,Colleen Fitzpatrick,Blu Cantrell,Willa Ford,Colleen Fitzpatrick
The famed opera Fidelio' has the same composer as what work?,F\xc3\xbcr Elise,The Magic Flute,La Traviata,F\xc3\xbcr Elise
Which Spanish word is NOT a rhyme in the hit 2017 song Despacito'?,Amorito,Manuscrito,Laberinto,Amorito
Which of these universities has produced the most Heisman Trophy winners?,Notre Dame,Florida State,Auburn,Notre Dame
Which of these is a real-life world-champion female fighter in the UFC?,Cris Cyborg,Ronda Robot,Allie Android,Cris Cyborg
A lifeguard is most likely to keep watch over what?,Swimming pool,Movie drive-in,Chess match,Swimming pool
"According to legend, what did St. Patrick drive out of Ireland?",All of the snakes,Tesla roadster,Miss Daisy,All of the snakes
"According to Emily Post, what is the ONLY fork placed on the right side of the plate?",Oyster fork,Salad fork,Dessert fork,Oyster fork
Which of these birds can fly?,Whooper swan,Cassowary,Emu,Whooper swan
What is a photo you take of yourself commonly known as?,Selfie,Renaissance masterpiece,Narcissisto,Selfie
What nation's unit of currency shares its spelling with a past-tense English verb?,North Korea,Qatar,Afghanistan,North Korea
Which of these characters has appeared in the most episodes of television?,Olivia Benson,J.R. Ewing,Frasier Crane,Olivia Benson
Which species is NOT one of humanity's two closest living relatives?,Orangutans,Chimpanzees,Bonobos,Orangutans
"In the U.S., what do students typically complete right before going to college?",High school,Graduate school,Grade school,High school
What African country has a capital named for a U.S. president?,Liberia,Ghana,Togo,Liberia
Which is generally NOT a business expense you can claim on U.S. federal taxes?,Commuting to work,Advertising,Ballpoint pens,Commuting to work
The cake is a lie' is a catchphrase originating in what hit video game?,Portal,BioShock,Minecraft,Portal
Which of these is most likely to be worn in a traditional Bavarian outfit?,Dirndl,Dashiki,Dhoti,Dirndl
"To calculate the mathematical constant pi, divide the circumference of a circle by its what?",Diameter,Crust,Area,Diameter
Which is a typical room in a suburban family home?,Bedroom,Foundry,Corral,Bedroom
"Which writer is credited with first penning the phrase, Elementary, my dear Watson'?",P.G. Wodehouse,Mark Twain,Graham Greene,P.G. Wodehouse
A nebulizer helps administer medical treatment in what form?,Mist,Pills,Electrical current,Mist
What is an infant koala called?,Joey,Chandler,Ross,Joey
Which of these innovators has appeared on the Italian 1000-lire note?,Maria Montessori,Giovanni Maria Farina,Candido Jacuzzi,Maria Montessori
Which movie starring the rapper DMX is adapted from a novel?,Never Die Alone,Romeo Must Die,Belly,Never Die Alone
Loyola University's Madagascar Madness' is an annual race of what animal?,Cockroach,Civet,Aardvark,Cockroach
"On Disneyland's first day in 1955, which attraction was NOT present?",It's a Small World,Mad Tea Party,Mr. Toad's Wild Ride,It's a Small World
Edgar Allan Poe's raven famously repeats what word?,Nevermore,Nevermind,Nevertheless,Nevermore
Actor John Wayne is most famous for playing what kind of character?,Cowboy,Big city lawyer,Boss baby,Cowboy
Which of these was the name of an American political splinter group?,Mugwumps,Gubbins,Ratoons,Mugwumps
Where would a doctor typically place a sphygmomanometer?,On your arm,Over your eye,On your tongue,On your arm
What's the correct spelling of the word for a high school's chief administrator?,Principal,Princepil,Principle,Principal
Ross Perot once provided a $3 million credit line to help establish which chain?,GameStop,Mills Fleet Farm,LongHorn Steakhouse,GameStop
Which of these is a real Ivy League secret society?,Pacifica House,Serpent Club,Cross and Bones,Pacifica House
In which of these movies does the bootstrap paradox play a key role?,12 Monkeys,Alien,Gravity,12 Monkeys
In which of these places do brides traditionally get temporary tattoos of grooms' initials?,India,Mongolia,New Zealand,India
In which of these games do you yell the game's name when you win?,Bingo,Checkers,Chess,Bingo
Which of these Amazon services was launched most recently?,Amazon Music,Amazon Mechanical Turk,Amazon Prime,Amazon Music
"In U.S. credit, what did FICO originally stand for?"," Fair, Isaac, and Company ",Fresh Investment Credit,Factual Income Operation," Fair, Isaac, and Company "
